id_slide,group,channel,position,template,title,data,filter,value1,value2,value3
s1111,1,1,1,1,CARTÕES,cartoes.csv,0,ACUMULADO,DIA,MM
s1121,1,1,2,1,ACORDOS PF,acordos_pf.csv,0,ACUMULADO,DIA,MM
s1131,1,1,3,1,ACORDOS PJ,acordos_pj.csv,0,ACUMULADO,DIA,MM
s1313,1,3,1,3,EFICIÊNCIA,eficiencia.csv,180,,,
s1212,1,2,1,2,HUMANOS PROD,humanos_prod.csv,180,,,
s1222,1,2,2,2,CALL CENTER PROD,humanos_prod.csv,180,,,
s1232,1,2,3,2,JURÍDICO PROD,humanos_prod.csv,180,,,
s1242,1,2,4,2,URR + REDE PROD,humanos_prod.csv,180,,,
s1412,1,4,1,2,HUMANOS ACUM,humanos_acum.csv,180,,,
s1422,1,4,2,2,CALL CENTER ACUM,humanos_acum.csv,180,,,
s1432,1,4,3,2,JURÍDICO ACUM,humanos_acum.csv,180,,,
s1442,1,4,4,2,URR + REDE ACUM,humanos_acum.csv,180,,
