data,valor,unidade
2022-07-22,4,mm
2022-07-21,1,mm
2022-07-20,2,mm
2022-07-19,4,mm
2022-07-18,7,mm
2022-07-17,6,mm
2022-07-16,1,mm
2022-07-15,4,mm
2022-07-14,3,mm
2022-07-13,2,mm
2022-07-12,1,mm
2022-07-11,2,mm
2022-07-10,2,mm
2022-07-09,4,mm
2022-07-08,1,mm
2022-07-07,2,mm
2022-07-06,4,mm
2022-07-05,7,mm
2022-07-04,6,mm
2022-07-03,1,mm
2022-07-02,4,mm
2022-07-01,3,mm
2022-06-30,2,mm
2022-06-29,4,mm
2022-06-28,1,mm
2022-06-27,2,mm
2022-06-26,2,mm
2022-06-25,4,mm
2022-06-24,1,mm
2022-06-23,2,mm
2022-06-22,4,mm
2022-06-21,7,mm
2022-06-20,6,mm
2022-06-19,1,mm
2022-06-18,4,mm
2022-06-17,3,mm
2022-06-16,2,mm
2022-06-15,5,mm
2022-06-14,4,mm
2022-06-13,1,mm
2022-06-12,2,mm
2022-06-11,2,mm
2022-06-10,4,mm
2022-06-09,1,mm
2022-06-08,2,mm
2022-06-07,4,mm
2022-06-06,7,mm
2022-06-05,6,mm
2022-06-04,1,mm
2022-06-03,4,mm
2022-06-02,3,mm
2022-06-01,2,mm
2022-05-31,2,mm
2022-05-30,4,mm
2022-05-29,1,mm
2022-05-28,2,mm
2022-05-27,4,mm
2022-05-26,7,mm
2022-05-25,6,mm
2022-05-24,1,mm
2022-05-23,4,mm
2022-05-22,3,mm
2022-05-21,2,mm
2022-05-20,4,mm
2022-05-19,1,mm
2022-05-18,2,mm
2022-05-17,2,mm
2022-05-16,4,mm
2022-05-15,1,mm
2022-05-14,2,mm
2022-05-13,4,mm
2022-05-12,7,mm
2022-05-11,6,mm
2022-05-10,1,mm
2022-05-09,4,mm
2022-05-08,3,mm
2022-05-07,2,mm
2022-05-06,5,mm
2022-05-05,4,mm
2022-05-04,1,mm
2022-05-03,2,mm
2022-05-02,2,mm
2022-05-01,4,mm
2022-04-30,1,mm
2022-04-29,2,mm
2022-04-28,4,mm
2022-04-27,7,mm
2022-04-26,6,mm
2022-04-25,1,mm
2022-04-24,4,mm
2022-04-23,3,mm
2022-04-22,2,mm
2022-04-21,6,mm
2022-04-20,5,mm
2022-04-19,4,mm
2022-04-18,1,mm
2022-04-17,2,mm
2022-04-16,2,mm
2022-04-15,4,mm
2022-04-14,1,mm
2022-04-13,2,mm
2022-04-12,4,mm
2022-04-11,7,mm
2022-04-10,6,mm
2022-04-09,1,mm
2022-04-08,4,mm
2022-04-07,3,mm
2022-04-06,2,mm
2022-04-05,6,mm
2022-04-04,5,mm
2022-04-03,4,mm
2022-04-02,1,mm
2022-04-01,2,mm
2022-03-31,2,mm
2022-03-30,4,mm
2022-03-29,1,mm
2022-03-28,2,mm
2022-03-27,4,mm
2022-03-26,7,mm
2022-03-25,6,mm
2022-03-24,1,mm
2022-03-23,4,mm
2022-03-22,3,mm
2022-03-21,2,mm
2022-03-20,6,mm
2022-03-19,5,mm
2022-03-18,4,mm
2022-03-17,1,mm
2022-03-16,2,mm
2022-03-15,2,mm
2022-03-14,4,mm
2022-03-13,1,mm
2022-03-12,2,mm
2022-03-11,4,mm
2022-03-10,7,mm
2022-03-09,6,mm
2022-03-08,1,mm
2022-03-07,4,mm
2022-03-06,3,mm
2022-03-05,2,mm
2022-03-04,6,mm
2022-03-03,5,mm
2022-03-02,4,mm
2022-03-01,1,mm
2022-02-28,2,mm
2022-02-27,2,mm
2022-02-26,4,mm
2022-02-25,1,mm
2022-02-24,2,mm
2022-02-23,4,mm
2022-02-22,7,mm
2022-02-21,6,mm
2022-02-20,1,mm
2022-02-19,4,mm
2022-02-18,3,mm
2022-02-17,2,mm
2022-02-16,6,mm
2022-02-15,5,mm
2022-02-14,4,mm
2022-02-13,1,mm
2022-02-12,2,mm
2022-02-11,2,mm
2022-02-10,4,mm
2022-02-09,1,mm
2022-02-08,2,mm
2022-02-07,4,mm
2022-02-06,7,mm
2022-02-05,6,mm
2022-02-04,1,mm
2022-02-03,4,mm
2022-02-02,3,mm
2022-02-01,2,mm
2022-01-31,6,mm
2022-01-30,5,mm
2022-01-29,4,mm
2022-01-28,1,mm
2022-01-27,2,mm
2022-01-26,2,mm
2022-01-25,4,mm
2022-01-24,1,mm
2022-01-23,2,mm
2022-01-22,4,mm
2022-01-21,7,mm
2022-01-20,6,mm
2022-01-19,1,mm
2022-01-18,4,mm
2022-01-17,3,mm
2022-01-16,2,mm
2022-01-15,6,mm
2022-01-14,5,mm
2022-01-13,4,mm
2022-01-12,1,mm
2022-01-11,2,mm
2022-01-10,2,mm
2022-01-09,4,mm
2022-01-08,1,mm
2022-01-07,2,mm
2022-01-06,4,mm
2022-01-05,7,mm
2022-01-04,6,mm
2022-01-03,1,mm
2022-01-02,4,mm
2022-01-01,3,mm
