data,valor,unidade
01/08/22,2,Mm
01/01/22,3,mm
02/01/22,4,mm
03/01/22,1,mm
04/01/22,6,mm
05/01/22,7,mm
06/01/22,4,mm
07/01/22,2,mm
08/01/22,1,mm
09/01/22,4,mm
10/01/22,2,mm
11/01/22,2,mm
12/01/22,1,mm
13/01/22,4,mm
14/01/22,5,mm
15/01/22,6,mm
16/01/22,2,mm
17/01/22,3,mm
18/01/22,4,mm
19/01/22,1,mm
20/01/22,6,mm
21/01/22,7,mm
22/01/22,4,mm
23/01/22,2,mm
24/01/22,1,mm
25/01/22,4,mm
26/01/22,2,mm
27/01/22,2,mm
28/01/22,1,mm
29/01/22,4,mm
30/01/22,5,mm
31/01/22,6,mm
01/02/22,2,mm
02/02/22,3,mm
03/02/22,4,mm
04/02/22,1,mm
05/02/22,6,mm
06/02/22,7,mm
07/02/22,4,mm
08/02/22,2,mm
09/02/22,1,mm
10/02/22,4,mm
11/02/22,2,mm
12/02/22,2,mm
13/02/22,1,mm
14/02/22,4,mm
15/02/22,5,mm
16/02/22,6,mm
17/02/22,2,mm
18/02/22,3,mm
19/02/22,4,mm
20/02/22,1,mm
21/02/22,6,mm
22/02/22,7,mm
23/02/22,4,mm
24/02/22,2,mm
25/02/22,1,mm
26/02/22,4,mm
27/02/22,2,mm
28/02/22,2,mm
01/03/22,1,mm
02/03/22,4,mm
03/03/22,5,mm
04/03/22,6,mm
05/03/22,2,mm
06/03/22,3,mm
07/03/22,4,mm
08/03/22,1,mm
09/03/22,6,mm
10/03/22,7,mm
11/03/22,4,mm
12/03/22,2,mm
13/03/22,1,mm
14/03/22,4,mm
15/03/22,2,mm
16/03/22,2,mm
17/03/22,1,mm
18/03/22,4,mm
19/03/22,5,mm
20/03/22,6,mm
21/03/22,2,mm
22/03/22,3,mm
23/03/22,4,mm
24/03/22,1,mm
25/03/22,6,mm
26/03/22,7,mm
27/03/22,4,mm
28/03/22,2,mm
29/03/22,1,mm
30/03/22,4,mm
31/03/22,2,mm
01/04/22,2,mm
02/04/22,1,mm
03/04/22,4,mm
04/04/22,5,mm
05/04/22,6,mm
06/04/22,2,mm
07/04/22,3,mm
08/04/22,4,mm
09/04/22,1,mm
10/04/22,6,mm
11/04/22,7,mm
12/04/22,4,mm
13/04/22,2,mm
14/04/22,1,mm
15/04/22,4,mm
16/04/22,2,mm
17/04/22,2,mm
18/04/22,1,mm
19/04/22,4,mm
20/04/22,5,mm
21/04/22,6,mm
22/04/22,2,mm
23/04/22,3,mm
24/04/22,4,mm
25/04/22,1,mm
26/04/22,6,mm
27/04/22,7,mm
28/04/22,4,mm
29/04/22,2,mm
30/04/22,1,mm
01/05/22,4,mm
02/05/22,2,mm
03/05/22,2,mm
04/05/22,1,mm
05/05/22,4,mm
06/05/22,5,mm
07/05/22,2,mm
08/05/22,3,mm
09/05/22,4,mm
10/05/22,1,mm
11/05/22,6,mm
12/05/22,7,mm
13/05/22,4,mm
14/05/22,2,mm
15/05/22,1,mm
16/05/22,4,mm
17/05/22,2,mm
18/05/22,2,mm
19/05/22,1,mm
20/05/22,4,mm
21/05/22,2,mm
22/05/22,3,mm
23/05/22,4,mm
24/05/22,1,mm
25/05/22,6,mm
26/05/22,7,mm
27/05/22,4,mm
28/05/22,2,mm
29/05/22,1,mm
30/05/22,4,mm
31/05/22,2,mm
01/06/22,2,mm
02/06/22,3,mm
03/06/22,4,mm
04/06/22,1,mm
05/06/22,6,mm
06/06/22,7,mm
07/06/22,4,mm
08/06/22,2,mm
09/06/22,1,mm
10/06/22,4,mm
11/06/22,2,mm
12/06/22,2,mm
13/06/22,1,mm
14/06/22,4,mm
15/06/22,5,mm
16/06/22,2,mm
17/06/22,3,mm
18/06/22,4,mm
19/06/22,1,mm
20/06/22,6,mm
21/06/22,7,mm
22/06/22,4,mm
23/06/22,2,mm
24/06/22,1,mm
25/06/22,4,mm
26/06/22,2,mm
27/06/22,2,mm
28/06/22,1,mm
29/06/22,4,mm
30/06/22,2,mm
01/07/22,3,mm
02/07/22,4,mm
03/07/22,1,mm
04/07/22,6,mm
05/07/22,7,mm
06/07/22,4,mm
07/07/22,2,mm
08/07/22,1,mm
09/07/22,4,mm
10/07/22,2,mm
11/07/22,2,mm
12/07/22,1,mm
13/07/22,2,mm
14/07/22,3,mm
15/07/22,4,mm
16/07/22,1,mm
17/07/22,6,mm
18/07/22,7,mm
19/07/22,4,mm
20/07/22,2,mm
21/07/22,1,mm
22/07/22,4,mm
23/07/22,2,mm
24/07/22,2,mm
25/07/22,2,mm
26/07/22,3,mm
27/07/22,4,mm
28/07/22,1,mm
29/07/22,6,mm
30/07/22,7,mm
31/07/22,4,mm
01/08/22,2,mm
02/08/22,1,mm
03/08/22,4,mm
04/08/22,2,mm
05/08/22,2,mm
06/08/22,1,mm
07/08/22,4,mm
08/08/22,5,mm
09/08/22,6,mm
10/08/22,6,mm
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
